sync_event_id,ts_zed,ts_left,ts_right,sys_diff_zed_left(s),sys_diff_zed_right(s),sys_diff_left_right(s),sys_diff_max(s)
1761712830339347769,2501.843713,2501.835423,2501.81369,0.008289,0.030023,0.021734,0.030023
1761712830406238948,2501.910466,2501.899422,2501.877652,0.011044,0.032814,0.02177,0.032814
1761712830472603380,2501.97708,2501.963419,2501.941661,0.013662,0.035419,0.021758,0.035419
1761712830539548567,2502.043817,2502.027641,2502.005414,0.016175,0.038402,0.022227,0.038402
1761712830605874892,2502.110439,2502.091594,2502.069406,0.018845,0.041033,0.022188,0.041033
1761712830670148402,2502.177043,2502.1554,2502.133387,0.021643,0.043656,0.022013,0.043656
1761712830739516755,2502.2438,2502.215375,2502.193399,0.028425,0.050401,0.021976,0.050401
1761712830805990485,2502.310413,2502.279376,2502.257771,0.031037,0.052643,0.021605,0.052643
1761712830873199253,2502.377035,2502.343406,2502.321555,0.033629,0.055481,0.021851,0.055481
1761712830935063003,2502.44377,2502.407406,2502.385357,0.036364,0.058413,0.022049,0.058413
1761712831007423792,2502.510601,2502.471329,2502.449364,0.039272,0.061237,0.021965,0.061237
1761712831072928529,2502.577191,2502.531314,2502.573344,0.045877,0.003846,-0.042031,0.045877
1761712831139507491,2502.643956,2502.595339,2502.63732,0.048617,0.006636,-0.041981,0.048617
1761712831207081809,2502.710562,2502.659483,2502.701555,0.05108,0.009008,-0.042072,0.05108
1761712831272954081,2502.777184,2502.723552,2502.765531,0.053632,0.011652,-0.04198,0.053632
1761712831339779731,2502.843931,2502.787516,2502.829582,0.056415,0.014349,-0.042066,0.056415
1761712831406283247,2502.910363,2502.851506,2502.889311,0.058857,0.021052,-0.037806,0.058857
1761712831473584194,2502.977092,2502.911495,2502.953515,0.065597,0.023577,-0.04202,0.065597
1761712831539519401,2503.04371,2503.039488,2503.017299,0.004223,0.026411,0.022188,0.026411
1761712831606169330,2503.110319,2503.10347,2503.08126,0.006849,0.029059,0.022211,0.029059
1761712831672885202,2503.177059,2503.167469,2503.145285,0.00959,0.031774,0.022185,0.031774
1761712831739632430,2503.243664,2503.227463,2503.209457,0.016201,0.034206,0.018006,0.034206
1761712831806593198,2503.310269,2503.291435,2503.26945,0.018833,0.040819,0.021986,0.040819
1761712831873005974,2503.377007,2503.355429,2503.333434,0.021578,0.043573,0.021995,0.043573
