10-29-2025 14:40:32 RAM 3035/62841MB (lfb 18x4MB) SWAP 0/31420MB (cached 0MB) CPU [3%@1344,5%@1344,1%@1344,1%@1344,0%@1420,0%@1420,2%@1420,3%@1420,4%@729,1%@729,13%@729,0%@729] GR3D_FREQ 0% cpu@42.187C soc2@38.5C soc0@38.843C tj@42.187C soc1@39.625C VDD_GPU_SOC 3175mW/3175mW VDD_CPU_CV 396mW/396mW VIN_SYS_5V0 4206mW/4206mW
10-29-2025 14:40:33 RAM 3034/62841MB (lfb 18x4MB) SWAP 0/31420MB (cached 0MB) CPU [4%@729,10%@729,2%@729,5%@729,0%@729,0%@729,1%@729,2%@729,3%@729,5%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@42.25C soc2@38.5C soc0@38.75C tj@42.25C soc1@39.562C VDD_GPU_SOC 3176mW/3176mW VDD_CPU_CV 396mW/396mW VIN_SYS_5V0 4206mW/4206mW
10-29-2025 14:40:34 RAM 3035/62841MB (lfb 18x4MB) SWAP 0/31420MB (cached 0MB) CPU [3%@729,0%@729,1%@729,3%@729,0%@729,0%@729,1%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@42.375C soc2@38.406C soc0@38.781C tj@42.375C soc1@39.656C VDD_GPU_SOC 3176mW/3176mW VDD_CPU_CV 396mW/396mW VIN_SYS_5V0 4106mW/4173mW
10-29-2025 14:40:35 RAM 3035/62841MB (lfb 18x4MB) SWAP 0/31420MB (cached 0MB) CPU [0%@729,6%@729,1%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@42.062C soc2@38.406C soc0@38.812C tj@42.062C soc1@39.5C VDD_GPU_SOC 3175mW/3176mW VDD_CPU_CV 396mW/396mW VIN_SYS_5V0 4106mW/4156mW
10-29-2025 14:40:36 RAM 3035/62841MB (lfb 18x4MB) SWAP 0/31420MB (cached 0MB) CPU [2%@883,6%@883,2%@883,15%@883,0%@729,0%@729,0%@729,0%@729,0%@729,3%@729,3%@729,0%@729] GR3D_FREQ 0% cpu@42.312C soc2@38.468C soc0@38.843C tj@42.312C soc1@39.468C VDD_GPU_SOC 3175mW/3175mW VDD_CPU_CV 396mW/396mW VIN_SYS_5V0 4306mW/4186mW
10-29-2025 14:40:37 RAM 3036/62841MB (lfb 18x4MB) SWAP 0/31420MB (cached 0MB) CPU [1%@1344,1%@1344,0%@1344,1%@1344,0%@1344,0%@1344,0%@1344,1%@1344,0%@1420,0%@1420,3%@1420,0%@1420] GR3D_FREQ 0% cpu@42.375C soc2@38.562C soc0@38.75C tj@42.375C soc1@39.625C VDD_GPU_SOC 3176mW/3176mW VDD_CPU_CV 396mW/396mW VIN_SYS_5V0 4206mW/4189mW
10-29-2025 14:40:38 RAM 3033/62841MB (lfb 18x4MB) SWAP 0/31420MB (cached 0MB) CPU [6%@729,5%@729,1%@729,10%@729,0%@729,0%@729,1%@729,1%@729,2%@729,0%@729,0%@729,2%@729] GR3D_FREQ 0% cpu@42.156C soc2@38.468C soc0@38.75C tj@42.156C soc1@39.656C VDD_GPU_SOC 3176mW/3176mW VDD_CPU_CV 396mW/396mW VIN_SYS_5V0 4206mW/4192mW
10-29-2025 14:40:39 RAM 3033/62841MB (lfb 18x4MB) SWAP 0/31420MB (cached 0MB) CPU [1%@729,0%@729,0%@729,1%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@42.281C soc2@38.437C soc0@38.781C tj@42.281C soc1@39.593C VDD_GPU_SOC 3175mW/3176mW VDD_CPU_CV 396mW/396mW VIN_SYS_5V0 4106mW/4181mW
10-29-2025 14:40:40 RAM 3033/62841MB (lfb 18x4MB) SWAP 0/31420MB (cached 0MB) CPU [1%@729,4%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@42.062C soc2@38.406C soc0@38.906C tj@42.062C soc1@39.562C VDD_GPU_SOC 3176mW/3176mW VDD_CPU_CV 396mW/396mW VIN_SYS_5V0 4106mW/4173mW
10-29-2025 14:40:41 RAM 3051/62841MB (lfb 18x4MB) SWAP 0/31420MB (cached 0MB) CPU [10%@729,15%@729,8%@729,20%@729,7%@1497,17%@1497,9%@1497,7%@1497,6%@729,6%@729,12%@729,7%@729] GR3D_FREQ 0% cpu@42.562C soc2@38.5C soc0@38.781C tj@42.562C soc1@39.593C VDD_GPU_SOC 3175mW/3176mW VDD_CPU_CV 793mW/436mW VIN_SYS_5V0 4306mW/4186mW
10-29-2025 14:40:42 RAM 3219/62841MB (lfb 9x4MB) SWAP 0/31420MB (cached 0MB) CPU [3%@729,1%@729,1%@729,1%@729,0%@1497,100%@1497,0%@1497,0%@1497,0%@729,0%@729,3%@729,0%@729] GR3D_FREQ 0% cpu@42.593C soc2@38.437C soc0@38.812C tj@42.593C soc1@39.625C VDD_GPU_SOC 3175mW/3175mW VDD_CPU_CV 1190mW/504mW VIN_SYS_5V0 4507mW/4215mW
